step,epoch,train/loss,valid/loss
0,0,0.4668038487434387,
0,0,,0.4511365592479706
1,1,0.4450189471244812,
1,1,,0.43021640181541443
2,2,0.42438775300979614,
2,2,,0.4101618826389313
3,3,0.40461525321006775,
3,3,,0.3906633257865906
4,4,0.38540223240852356,
4,4,,0.37145841121673584
5,5,0.36649662256240845,
5,5,,0.35235145688056946
6,6,0.3477098047733307,
6,6,,0.3332065939903259
7,7,0.3289121985435486,
7,7,,0.31395310163497925
8,8,0.3100402355194092,
8,8,,0.2946200370788574
9,9,0.29113489389419556,
9,9,,0.2754296362400055
10,10,0.27243664860725403,
10,10,,0.2570075988769531
11,11,0.25459590554237366,
11,11,,0.24087665975093842
12,12,0.23917658627033234,
12,12,,0.23060905933380127
13,13,0.22981564700603485,
13,13,,0.23351997137069702
14,14,0.23385941982269287,
14,14,,0.24771183729171753
15,15,0.2489701807498932,
15,15,,0.2493654489517212
16,16,0.2507627010345459,
16,16,,0.241391122341156
17,17,0.24246270954608917,
17,17,,0.23356467485427856
18,18,0.23418234288692474,
18,18,,0.22942468523979187
19,19,0.22959549725055695,
19,19,,0.22847658395767212
20,20,0.22827577590942383,
20,20,,0.2293371558189392
21,21,0.22884124517440796,
21,21,,0.23087604343891144
22,22,0.23016676306724548,
22,22,,0.23241454362869263
23,23,0.23155148327350616,
23,23,,0.23359176516532898
24,24,0.2326270341873169,
24,24,,0.23425093293190002
25,25,0.23323403298854828,
25,25,,0.2343669831752777
26,26,0.23333142697811127,
26,26,,0.23397931456565857
27,27,0.23296362161636353,
27,27,,0.23317761719226837
28,28,0.2322099506855011,
28,28,,0.23207993805408478
29,29,0.23118358850479126,
29,29,,0.2308184951543808
30,30,0.23001588881015778,
30,30,,0.2295362502336502
31,31,0.2288479208946228,
31,31,,0.22837752103805542
32,32,0.22781236469745636,
32,32,,0.22745437920093536
33,33,0.22702442109584808,
33,33,,0.22685512900352478
34,34,0.22656141221523285,
34,34,,0.22659681737422943
35,35,0.22643166780471802,
35,35,,0.22662582993507385
36,36,0.22657650709152222,
36,36,,0.2268269658088684
37,37,0.22686488926410675,
37,37,,0.2270248383283615
38,38,0.2271275520324707,
38,38,,0.22710180282592773
39,39,0.22722400724887848,
39,39,,0.22697500884532928
40,40,0.2270769327878952,
40,40,,0.22665344178676605
41,41,0.2267148494720459,
41,41,,0.22622822225093842
42,42,0.22621800005435944,
42,42,,0.22580072283744812
43,43,0.2257017195224762,
43,43,,0.22545355558395386
44,44,0.22525864839553833,
44,44,,0.22522284090518951
45,45,0.22493593394756317,
45,45,,0.2251105159521103
46,46,0.2247380167245865,
46,46,,0.22508098185062408
47,47,0.22463738918304443,
47,47,,0.2250882089138031
48,48,0.2245863825082779,
48,48,,0.22508323192596436
49,49,0.22453905642032623,
49,49,,0.22503115236759186
50,50,0.224464550614357,
50,50,,0.22490639984607697
51,51,0.22433635592460632,
51,51,,0.22470499575138092
52,52,0.22414632141590118,
52,52,,0.22443732619285583
53,53,0.22390343248844147,
53,53,,0.22412139177322388
54,54,0.22362768650054932,
54,54,,0.22377794981002808
55,55,0.22333677113056183,
55,55,,0.22344931960105896
56,56,0.2230575531721115,
56,56,,0.22313860058784485
57,57,0.22280849516391754,
57,57,,0.22286610305309296
58,58,0.2225976288318634,
58,58,,0.22263608872890472
59,59,0.22241680324077606,
59,59,,0.2224285900592804
60,60,0.22225640714168549,
60,60,,0.22223179042339325
61,61,0.22209851443767548,
61,61,,0.22203120589256287
62,62,0.2219182848930359,
62,62,,0.22181884944438934
63,63,0.2217133790254593,
63,63,,0.22158874571323395
64,64,0.2214733064174652,
64,64,,0.2213442176580429
65,65,0.22121292352676392,
65,65,,0.22110514342784882
66,66,0.22094671428203583,
66,66,,0.22086817026138306
67,67,0.22068291902542114,
67,67,,0.22064989805221558
68,68,0.2204323410987854,
68,68,,0.220441535115242
69,69,0.22019384801387787,
69,69,,0.22023427486419678
70,70,0.21996015310287476,
70,70,,0.2200223207473755
71,71,0.21973010897636414,
71,71,,0.21978895366191864
72,72,0.21948520839214325,
72,72,,0.2195362150669098
73,73,0.2192286252975464,
73,73,,0.21926134824752808
74,74,0.21895495057106018,
74,74,,0.21896034479141235
75,75,0.21866898238658905,
75,75,,0.2186446338891983
76,76,0.21837641298770905,
76,76,,0.21832764148712158
77,77,0.21808268129825592,
77,77,,0.21801228821277618
78,78,0.2177884429693222,
78,78,,0.2176930010318756
79,79,0.21749715507030487,
79,79,,0.21737827360630035
80,80,0.21720284223556519,
80,80,,0.21705831587314606
81,81,0.2169036716222763,
81,81,,0.21673840284347534
82,82,0.21659591794013977,
82,82,,0.2164124846458435
83,83,0.21627426147460938,
83,83,,0.216077521443367
84,84,0.2159409523010254,
84,84,,0.2157421112060547
85,85,0.21559853851795197,
85,85,,0.21539857983589172
86,86,0.21525505185127258,
86,86,,0.2150520384311676
87,87,0.21490143239498138,
87,87,,0.21470285952091217
88,88,0.21454796195030212,
88,88,,0.21434570848941803
89,89,0.21418556571006775,
89,89,,0.21397334337234497
90,90,0.2138124704360962,
90,90,,0.21357852220535278
91,91,0.21343013644218445,
91,91,,0.2131754457950592
92,92,0.2130359411239624,
92,92,,0.2127498984336853
93,93,0.2126324325799942,
93,93,,0.21232011914253235
94,94,0.21221600472927094,
94,94,,0.21187658607959747
95,95,0.21179446578025818,
95,95,,0.2114279717206955
96,96,0.21136099100112915,
96,96,,0.21096806228160858
97,97,0.21091865003108978,
97,97,,0.21049347519874573
98,98,0.2104545384645462,
98,98,,0.21000710129737854
99,99,0.20997142791748047,
99,99,,0.20951034128665924
100,100,0.2094753235578537,
100,100,,0.20898111164569855
101,101,0.20895829796791077,
101,101,,0.20844727754592896
102,102,0.2084193229675293,
102,102,,0.20788010954856873
103,103,0.20786398649215698,
103,103,,0.2072799801826477
104,104,0.20727671682834625,
104,104,,0.20665374398231506
105,105,0.20665909349918365,
105,105,,0.20598351955413818
106,106,0.206009641289711,
106,106,,0.20527276396751404
107,107,0.20532087981700897,
107,107,,0.20451833307743073
108,108,0.20459124445915222,
108,108,,0.20371155440807343
109,109,0.2038060873746872,
109,109,,0.2028411328792572
110,110,0.2029682993888855,
110,110,,0.20189610123634338
111,111,0.20205160975456238,
111,111,,0.2008725106716156
112,112,0.201059952378273,
112,112,,0.19975215196609497
