epoch,train/loss,step,valid/loss
0,2.4666459560394287,0,
0,,0,0.6096617579460144
1,0.6214514374732971,1,
1,,1,0.5187735557556152
2,0.5164569616317749,2,
2,,2,0.690980851650238
3,0.6826211214065552,3,
3,,3,0.5894246101379395
4,0.5824732184410095,4,
4,,4,0.44580748677253723
5,0.4437183439731598,5,
5,,5,0.3474421203136444
6,0.3509133756160736,6,
6,,6,0.30833908915519714
7,0.3166482746601105,7,
7,,7,0.3080689311027527
8,0.31929370760917664,8,
8,,8,0.3142029047012329
9,0.3259720802307129,9,
9,,9,0.3124837577342987
10,0.32284823060035706,10,
10,,10,0.3058367073535919
11,0.3136686682701111,11,
11,,11,0.2998800277709961
12,0.3048099875450134,12,
12,,12,0.2964469790458679
13,0.2987889051437378,13,
13,,13,0.29079437255859375
14,0.2915777564048767,14,
14,,14,0.282710462808609
15,0.2829801142215729,15,
15,,15,0.27522099018096924
16,0.27580583095550537,16,
16,,16,0.2698122262954712
17,0.2713765501976013,17,
17,,17,0.2671961486339569
18,0.2700844407081604,18,
18,,18,0.2662680745124817
19,0.27043259143829346,19,
19,,19,0.26501622796058655
20,0.270121693611145,20,
20,,20,0.26203954219818115
21,0.26760193705558777,21,
21,,21,0.25755152106285095
22,0.2631034851074219,22,
22,,22,0.25279587507247925
23,0.25800183415412903,23,
23,,23,0.24838677048683167
24,0.25313830375671387,24,
24,,24,0.24558869004249573
25,0.2498806267976761,25,
25,,25,0.24495643377304077
26,0.2486516386270523,26,
26,,26,0.24508531391620636
27,0.24801239371299744,27,
27,,27,0.24408496916294098
28,0.24628359079360962,28,
28,,28,0.240786612033844
29,0.24279479682445526,29,
29,,29,0.23618566989898682
30,0.23862817883491516,30,
30,,30,0.23354734480381012
31,0.23611073195934296,31,
31,,31,0.2323220819234848
32,0.23647624254226685,32,
32,,32,0.23361998796463013
33,0.23747706413269043,33,
33,,33,0.2321535348892212
34,0.23668187856674194,34,
34,,34,0.23076564073562622
35,0.23432759940624237,35,
35,,35,0.23012131452560425
36,0.23278747498989105,36,
36,,36,0.22981305420398712
37,0.2325454205274582,37,
37,,37,0.23037128150463104
38,0.2324112504720688,38,
